Datum Zeit;  Temperatur; Wind; Richtung; Peak 
09.02.2024 00:00; 2.66; 7.55; 100; 9.4
09.02.2024 00:01; 2.68; 7.86; 103; 11.5
09.02.2024 00:02; 2.65; 6.62; 100; 10.4
09.02.2024 00:03; 2.65; 8.49; 101; 11.9
09.02.2024 00:04; 2.62; 5.77; 109; 8.5
09.02.2024 00:05; 2.59; 5.60; 95; 7.1
09.02.2024 00:06; 2.61; 2.95; 103; 3.9
09.02.2024 00:07; 2.64; 8.12; 102; 10.7
09.02.2024 00:08; 2.63; 7.15; 101; 10.1
09.02.2024 00:09; 2.59; 6.23; 108; 9.8
09.02.2024 00:10; 2.59; 5.62; 102; 7.5
09.02.2024 00:11; 2.61; 6.32; 102; 9.9
09.02.2024 00:12; 2.62; 5.85; 105; 8.4
09.02.2024 00:13; 2.62; 5.17; 101; 9.7
09.02.2024 00:14; 2.59; 7.16; 99; 8.9
09.02.2024 00:15; 2.63; 7.45; 101; 9.4
09.02.2024 00:16; 2.60; 6.79; 107; 9.1
09.02.2024 00:17; 2.64; 4.94; 114; 6.7
09.02.2024 00:18; 2.65; 7.12; 104; 10.5
09.02.2024 00:19; 2.65; 7.03; 104; 9.7
09.02.2024 00:20; 2.67; 7.20; 105; 9.7
09.02.2024 00:21; 2.67; 6.33; 109; 9.5
09.02.2024 00:22; 2.65; 5.79; 104; 7.7
09.02.2024 00:23; 2.65; 5.89; 107; 7.9
09.02.2024 00:24; 2.65; 6.02; 102; 8.9
09.02.2024 00:25; 2.66; 7.52; 101; 10.4
09.02.2024 00:26; 2.61; 7.60; 105; 10.9
09.02.2024 00:27; 2.67; 7.93; 104; 9.8
09.02.2024 00:28; 2.66; 8.61; 105; 10.4
09.02.2024 00:29; 2.63; 8.20; 106; 10.1
09.02.2024 00:30; 2.64; 6.81; 105; 10.3
09.02.2024 00:31; 2.67; 6.98; 102; 9.2
09.02.2024 00:32; 2.64; 5.71; 105; 8.5
09.02.2024 00:33; 2.67; 5.61; 102; 7.5
09.02.2024 00:34; 2.65; 5.25; 97; 7.1
09.02.2024 00:35; 2.59; 7.67; 108; 10.1
09.02.2024 00:36; 2.71; 5.85; 101; 11.5
09.02.2024 00:37; 2.53; 6.65; 104; 11.7
09.02.2024 00:38; 2.66; 4.77; 112; 8.8
09.02.2024 00:39; 2.68; 5.37; 107; 10.5
09.02.2024 00:40; 2.66; 6.69; 102; 10.3
09.02.2024 00:41; 2.64; 7.24; 111; 9.3
09.02.2024 00:42; 2.66; 7.43; 103; 9.6
09.02.2024 00:43; 2.61; 7.41; 113; 10.9
09.02.2024 00:44; 2.65; 8.07; 98; 10.8
09.02.2024 00:45; 2.64; 7.37; 95; 8.8
09.02.2024 00:46; 2.62; 5.58; 97; 7.6
09.02.2024 00:47; 2.65; 6.11; 101; 9.4
09.02.2024 00:48; 2.62; 6.34; 94; 7.7
09.02.2024 00:49; 2.60; 8.29; 100; 10.7
09.02.2024 00:50; 2.61; 6.76; 101; 9.7
09.02.2024 00:51; 2.63; 8.14; 106; 10.4
09.02.2024 00:52; 2.61; 7.37; 103; 9.4
09.02.2024 00:53; 2.60; 6.18; 105; 9.5
09.02.2024 00:54; 2.62; 4.62; 106; 8.6
09.02.2024 00:55; 2.63; 6.54; 106; 9.3
09.02.2024 00:56; 2.62; 8.29; 101; 10.7
09.02.2024 00:57; 2.61; 8.09; 98; 10.9
09.02.2024 00:58; 2.62; 5.58; 111; 9.5
09.02.2024 00:59; 2.59; 6.68; 110; 9.3
09.02.2024 01:00; 2.63; 6.66; 106; 9.6
09.02.2024 01:01; 2.60; 5.27; 100; 7.6
09.02.2024 01:02; 2.60; 6.17; 101; 7.6
09.02.2024 01:03; 2.62; 6.97; 101; 9.7
09.02.2024 01:04; 2.61; 6.35; 101; 10.2
09.02.2024 01:05; 2.61; 5.84; 106; 8.7
09.02.2024 01:06; 2.65; 6.06; 97; 9.5
09.02.2024 01:07; 2.62; 4.83; 104; 7.6
09.02.2024 01:08; 2.60; 5.21; 109; 7.8
09.02.2024 01:09; 2.60; 6.44; 100; 8.6
09.02.2024 01:10; 2.59; 5.54; 110; 8.2
09.02.2024 01:11; 2.61; 7.77; 105; 9.9
09.02.2024 01:12; 2.60; 6.40; 100; 8.3
09.02.2024 01:13; 2.61; 4.90; 105; 6.7
09.02.2024 01:14; 2.59; 6.27; 101; 8.4
09.02.2024 01:15; 2.61; 4.28; 106; 5.9
09.02.2024 01:16; 2.62; 5.84; 101; 8.3
09.02.2024 01:17; 2.62; 4.54; 103; 6.8
09.02.2024 01:18; 2.60; 6.53; 96; 8.8
09.02.2024 01:19; 2.59; 5.99; 96; 8.6
09.02.2024 01:20; 2.61; 5.04; 94; 6.9
09.02.2024 01:21; 2.61; 5.41; 97; 7.1
09.02.2024 01:22; 2.62; 4.65; 98; 6.5
09.02.2024 01:23; 2.60; 4.00; 101; 5.3
09.02.2024 01:24; 2.59; 4.24; 93; 5.6
09.02.2024 01:25; 2.60; 5.03; 107; 7.5
09.02.2024 01:26; 2.60; 5.08; 99; 6.9
09.02.2024 01:27; 2.60; 6.43; 105; 8.5
09.02.2024 01:28; 2.60; 4.72; 91; 6.2
