Datum Zeit;  Temperatur; Wind; Richtung; Peak 
07.01.2024 00:00; 0.06; 4.64; 60; 5.8
07.01.2024 00:01; 0.04; 5.89; 64; 7.6
07.01.2024 00:02; 0.05; 5.43; 61; 6.8
07.01.2024 00:03; 0.05; 5.15; 62; 6.5
07.01.2024 00:04; 0.06; 5.24; 58; 6.7
07.01.2024 00:05; 0.10; 4.35; 56; 6.2
07.01.2024 00:06; 0.07; 3.48; 67; 4.5
07.01.2024 00:07; 0.05; 4.50; 64; 6.3
07.01.2024 00:08; 0.05; 5.58; 52; 6.8
07.01.2024 00:09; 0.06; 4.67; 58; 6.1
07.01.2024 00:10; 0.02; 4.91; 60; 5.9
07.01.2024 00:11; 0.08; 4.00; 57; 5.7
07.01.2024 00:12; 0.08; 4.43; 57; 6.6
07.01.2024 00:13; 0.03; 5.27; 56; 7.2
07.01.2024 00:14; 0.04; 6.31; 49; 7.9
07.01.2024 00:15; 0.02; 6.23; 56; 7.8
07.01.2024 00:16; 0.00; 5.41; 60; 6.7
07.01.2024 00:17; 0.02; 6.15; 54; 8.7
07.01.2024 00:18; -0.01; 5.88; 61; 7.3
07.01.2024 00:19; 0.02; 3.94; 61; 5.3
07.01.2024 00:20; 0.01; 5.82; 59; 7.3
07.01.2024 00:21; -0.01; 5.46; 60; 7.5
07.01.2024 00:22; 0.00; 5.49; 56; 6.7
07.01.2024 00:23; -0.01; 5.24; 57; 7.4
07.01.2024 00:24; 0.00; 6.74; 51; 7.5
07.01.2024 00:25; -0.01; 6.07; 58; 7.7
07.01.2024 00:26; 0.01; 4.57; 59; 5.9
07.01.2024 00:27; 0.06; 4.20; 50; 6.9
07.01.2024 00:28; 0.01; 4.17; 60; 7.1
07.01.2024 00:29; -0.01; 4.04; 59; 6.1
07.01.2024 00:30; -0.03; 4.66; 56; 7.4
07.01.2024 00:31; -0.10; 6.12; 58; 7.4
07.01.2024 00:32; -0.10; 5.34; 61; 7.6
07.01.2024 00:33; -0.11; 5.57; 53; 7.4
07.01.2024 00:34; -0.10; 5.07; 52; 6.4
07.01.2024 00:35; -0.13; 5.16; 57; 7.2
07.01.2024 00:36; -0.19; 6.57; 59; 9.3
07.01.2024 00:37; -0.15; 6.03; 51; 7.3
07.01.2024 00:38; -0.16; 6.66; 50; 7.9
07.01.2024 00:39; -0.15; 6.77; 52; 8.1
07.01.2024 00:40; -0.20; 6.48; 53; 8.5
07.01.2024 00:41; -0.21; 6.53; 54; 8.1
07.01.2024 00:42; -0.20; 5.67; 66; 7.7
07.01.2024 00:43; -0.16; 5.49; 47; 7.9
07.01.2024 00:44; -0.20; 5.59; 54; 7.2
07.01.2024 00:45; -0.21; 6.29; 52; 7.6
07.01.2024 00:46; -0.21; 5.82; 56; 6.9
07.01.2024 00:47; -0.18; 5.80; 54; 7.2
07.01.2024 00:48; -0.23; 5.91; 59; 7.4
07.01.2024 00:49; -0.23; 6.87; 55; 8.4
07.01.2024 00:50; -0.26; 6.48; 64; 8.5
07.01.2024 00:51; -0.22; 5.71; 54; 7.4
07.01.2024 00:52; -0.22; 5.93; 56; 7.5
07.01.2024 00:53; -0.21; 5.32; 55; 7.1
07.01.2024 00:54; -0.22; 5.50; 46; 6.6
07.01.2024 00:55; -0.22; 5.94; 50; 7.4
07.01.2024 00:56; -0.26; 6.35; 58; 7.3
07.01.2024 00:57; -0.19; 4.77; 55; 5.8
07.01.2024 00:58; -0.20; 4.40; 55; 5.5
07.01.2024 00:59; -0.19; 5.59; 57; 7.9
07.01.2024 01:00; -0.23; 4.53; 58; 5.9
07.01.2024 01:01; -0.24; 7.35; 53; 9.3
07.01.2024 01:02; -0.26; 7.37; 54; 9.3
07.01.2024 01:03; -0.26; 5.69; 60; 7.4
07.01.2024 01:04; -0.25; 4.94; 64; 6.2
07.01.2024 01:05; -0.23; 4.87; 59; 6.4
07.01.2024 01:06; -0.25; 5.53; 62; 7.5
07.01.2024 01:07; -0.25; 4.81; 56; 6.1
07.01.2024 01:08; -0.24; 5.34; 55; 7.1
07.01.2024 01:09; -0.21; 4.36; 51; 5.8
07.01.2024 01:10; -0.22; 4.73; 60; 5.9
07.01.2024 01:11; -0.25; 4.83; 66; 5.9
07.01.2024 01:12; -0.27; 4.83; 65; 6.5
07.01.2024 01:13; -0.26; 6.98; 59; 9.2
07.01.2024 01:14; -0.27; 6.75; 56; 7.9
07.01.2024 01:15; -0.26; 5.42; 65; 6.6
07.01.2024 01:16; -0.23; 5.35; 54; 6.7
07.01.2024 01:17; -0.24; 5.67; 60; 7.5
07.01.2024 01:18; -0.22; 4.57; 67; 7.1
07.01.2024 01:19; -0.23; 4.59; 62; 5.9
07.01.2024 01:20; -0.18; 3.96; 64; 5.2
07.01.2024 01:21; -0.19; 3.75; 61; 4.6
07.01.2024 01:22; -0.24; 6.40; 69; 7.9
07.01.2024 01:23; -0.23; 5.11; 67; 6.6
07.01.2024 01:24; -0.19; 4.39; 67; 5.7
07.01.2024 01:25; -0.14; 3.75; 66; 5.3
07.01.2024 01:26; -0.20; 5.86; 66; 7.7
07.01.2024 01:27; -0.20; 6.14; 68; 8.9
07.01.2024 01:28; -0.21; 5.94; 67; 8.1
07.01.2024 01:29; -0.21; 5.18; 67; 7.2
07.01.2024 01:30; -0.19; 6.22; 61; 7.9
07.01.2024 01:31; -0.21; 7.69; 59; 9.5
07.01.2024 01:32; -0.21; 6.91; 61; 8.9
07.01.2024 01:33; -0.19; 6.39; 60; 8.8
07.01.2024 01:34; -0.17; 5.71; 60; 8.4
07.01.2024 01:35; -0.21; 6.54; 68; 8.6
07.01.2024 01:36; -0.21; 5.97; 68; 8.3
07.01.2024 01:37; -0.16; 5.00; 58; 6.5
07.01.2024 01:38; -0.18; 4.96; 62; 6.4
07.01.2024 01:39; -0.19; 4.28; 56; 5.4
07.01.2024 01:40; -0.15; 3.34; 59; 5.2
07.01.2024 01:41; -0.18; 5.04; 60; 7.7
07.01.2024 01:42; -0.23; 4.97; 65; 6.5
07.01.2024 01:43; -0.23; 5.76; 63; 6.9
07.01.2024 01:44; -0.26; 5.41; 70; 6.6
07.01.2024 01:45; -0.24; 5.39; 63; 6.4
07.01.2024 01:46; -0.22; 4.70; 58; 5.7
07.01.2024 01:47; -0.19; 4.96; 51; 6.4
07.01.2024 01:48; -0.18; 4.71; 56; 6.1
07.01.2024 01:49; -0.17; 3.58; 60; 4.6
07.01.2024 01:50; -0.17; 3.33; 59; 4.6
07.01.2024 01:51; -0.21; 4.46; 56; 5.6
07.01.2024 01:52; -0.14; 3.54; 54; 5.4
07.01.2024 01:53; -0.23; 4.62; 58; 5.7
07.01.2024 01:54; -0.22; 5.45; 51; 6.8
07.01.2024 01:55; -0.29; 5.14; 56; 6.9
