Datum Zeit;  Temperatur; Wind; Richtung; Peak 
20.01.2024 00:00; 1.70; 7.87; 233; 11.4
20.01.2024 00:01; 1.78; 10.02; 232; 11.6
20.01.2024 00:02; 1.74; 8.84; 237; 11.4
20.01.2024 00:03; 1.73; 8.59; 231; 11.1
20.01.2024 00:04; 1.64; 7.15; 233; 10.1
20.01.2024 00:05; 1.65; 6.79; 236; 8.7
20.01.2024 00:06; 1.71; 8.03; 229; 11.6
20.01.2024 00:07; 1.71; 7.38; 234; 9.5
20.01.2024 00:08; 1.69; 8.19; 239; 11.6
20.01.2024 00:09; 1.72; 8.55; 236; 11.5
20.01.2024 00:10; 1.69; 7.96; 236; 10.8
20.01.2024 00:11; 1.72; 8.84; 235; 11.5
20.01.2024 00:12; 1.73; 9.51; 241; 11.6
20.01.2024 00:13; 1.72; 8.72; 235; 11.3
20.01.2024 00:14; 1.73; 8.67; 232; 11.2
20.01.2024 00:15; 1.75; 8.84; 236; 10.5
20.01.2024 00:16; 1.79; 8.50; 233; 10.7
20.01.2024 00:17; 1.69; 7.09; 235; 10.4
20.01.2024 00:18; 1.67; 6.97; 234; 8.6
20.01.2024 00:19; 1.69; 7.16; 236; 9.4
20.01.2024 00:20; 1.67; 6.97; 240; 8.9
20.01.2024 00:21; 1.74; 8.34; 237; 10.5
20.01.2024 00:22; 1.69; 6.86; 236; 10.1
20.01.2024 00:23; 1.67; 6.90; 241; 9.7
20.01.2024 00:24; 1.66; 6.39; 235; 8.1
20.01.2024 00:25; 1.71; 7.52; 236; 10.6
20.01.2024 00:26; 1.77; 7.76; 237; 10.6
20.01.2024 00:27; 1.73; 7.28; 235; 9.4
20.01.2024 00:28; 1.72; 7.36; 234; 9.5
20.01.2024 00:29; 1.72; 7.84; 236; 9.8
20.01.2024 00:30; 1.74; 7.65; 234; 9.6
20.01.2024 00:31; 1.69; 6.23; 231; 8.5
20.01.2024 00:32; 1.67; 6.41; 236; 11.4
20.01.2024 00:33; 1.81; 8.66; 234; 11.2
20.01.2024 00:34; 1.74; 7.24; 231; 9.5
20.01.2024 00:35; 1.69; 7.42; 236; 8.7
20.01.2024 00:36; 1.79; 7.72; 233; 9.1
20.01.2024 00:37; 1.75; 7.38; 231; 8.8
20.01.2024 00:38; 1.75; 7.30; 234; 8.5
20.01.2024 00:39; 1.73; 7.72; 234; 9.3
20.01.2024 00:40; 1.73; 7.36; 237; 8.9
20.01.2024 00:41; 1.76; 7.69; 233; 10.1
20.01.2024 00:42; 1.76; 6.83; 227; 8.6
20.01.2024 00:43; 1.75; 7.22; 233; 9.6
20.01.2024 00:44; 1.82; 8.72; 233; 10.7
20.01.2024 00:45; 1.74; 6.53; 233; 8.7
20.01.2024 00:46; 1.75; 7.67; 227; 10.3
20.01.2024 00:47; 1.80; 7.85; 223; 10.7
20.01.2024 00:48; 1.82; 8.62; 231; 10.1
20.01.2024 00:49; 1.79; 7.81; 228; 9.2
20.01.2024 00:50; 1.74; 6.69; 230; 9.1
20.01.2024 00:51; 1.75; 6.45; 226; 8.8
20.01.2024 00:52; 1.75; 6.74; 227; 9.6
20.01.2024 00:53; 1.79; 7.82; 229; 9.4
20.01.2024 00:54; 1.79; 8.00; 227; 9.4
20.01.2024 00:55; 1.72; 6.84; 234; 8.9
20.01.2024 00:56; 1.79; 7.35; 231; 10.1
20.01.2024 00:57; 1.74; 6.01; 232; 9.3
20.01.2024 00:58; 1.77; 7.17; 231; 8.6
20.01.2024 00:59; 1.79; 6.25; 232; 8.1
20.01.2024 01:00; 1.78; 6.89; 230; 8.4
20.01.2024 01:01; 1.78; 6.53; 230; 8.8
20.01.2024 01:02; 1.76; 7.33; 227; 9.4
20.01.2024 01:03; 1.83; 8.57; 230; 9.9
20.01.2024 01:04; 1.77; 7.26; 233; 8.9
20.01.2024 01:05; 1.79; 6.95; 230; 9.2
20.01.2024 01:06; 1.79; 7.57; 227; 9.7
20.01.2024 01:07; 1.80; 7.30; 230; 9.4
20.01.2024 01:08; 1.82; 7.52; 232; 9.9
20.01.2024 01:09; 1.78; 6.23; 236; 8.2
20.01.2024 01:10; 1.81; 8.06; 232; 9.9
20.01.2024 01:11; 1.78; 6.77; 231; 8.1
20.01.2024 01:12; 1.77; 5.96; 229; 8.6
20.01.2024 01:13; 1.83; 7.19; 234; 10.3
20.01.2024 01:14; 1.76; 6.45; 230; 8.2
