Datum Zeit;  Temperatur; Wind; Richtung; Peak 
29.01.2024 00:00; 7.82; 8.00; 154; 11.1
29.01.2024 00:01; 7.60; 6.11; 156; 7.9
29.01.2024 00:02; 7.70; 6.44; 162; 8.9
29.01.2024 00:03; 7.78; 7.39; 159; 10.7
29.01.2024 00:04; 7.73; 7.14; 161; 8.9
29.01.2024 00:05; 7.81; 6.60; 156; 8.1
29.01.2024 00:06; 7.83; 6.56; 162; 8.1
29.01.2024 00:07; 7.84; 7.70; 158; 9.6
29.01.2024 00:08; 7.81; 6.69; 164; 7.9
29.01.2024 00:09; 7.76; 6.29; 159; 9.2
29.01.2024 00:10; 7.88; 6.75; 155; 8.6
29.01.2024 00:11; 8.00; 7.58; 155; 9.1
29.01.2024 00:12; 7.86; 6.75; 153; 8.2
29.01.2024 00:13; 7.90; 7.04; 160; 8.6
29.01.2024 00:14; 7.96; 6.11; 152; 7.8
29.01.2024 00:15; 7.75; 5.32; 156; 6.8
29.01.2024 00:16; 7.83; 6.26; 161; 7.9
29.01.2024 00:17; 7.82; 7.11; 160; 8.9
29.01.2024 00:18; 7.88; 7.12; 158; 9.7
29.01.2024 00:19; 7.83; 6.19; 159; 8.6
29.01.2024 00:20; 7.80; 6.15; 157; 8.1
29.01.2024 00:21; 7.67; 5.03; 156; 6.2
29.01.2024 00:22; 7.79; 5.26; 158; 6.8
29.01.2024 00:23; 7.83; 6.04; 154; 7.8
29.01.2024 00:24; 7.79; 6.21; 152; 7.5
29.01.2024 00:25; 7.86; 6.44; 151; 8.5
29.01.2024 00:26; 7.98; 5.74; 153; 7.9
29.01.2024 00:27; 7.84; 6.07; 152; 8.2
29.01.2024 00:28; 7.97; 6.59; 159; 8.2
29.01.2024 00:29; 7.82; 6.67; 157; 9.3
29.01.2024 00:30; 7.86; 6.18; 156; 8.7
29.01.2024 00:31; 7.78; 4.80; 155; 6.2
29.01.2024 00:32; 7.75; 5.39; 155; 6.5
29.01.2024 00:33; 7.91; 6.38; 154; 7.6
29.01.2024 00:34; 7.76; 6.07; 154; 8.3
29.01.2024 00:35; 7.73; 5.12; 154; 7.1
29.01.2024 00:36; 7.71; 5.19; 153; 6.9
29.01.2024 00:37; 7.83; 5.53; 158; 6.9
29.01.2024 00:38; 7.67; 5.75; 155; 7.5
29.01.2024 00:39; 7.71; 5.72; 155; 6.7
29.01.2024 00:40; 7.68; 4.99; 151; 6.4
29.01.2024 00:41; 7.62; 5.48; 154; 8.5
29.01.2024 00:42; 7.65; 5.57; 156; 7.4
